                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2102,                 1.3417,                 1.4249,                0.67041,                0.61067,                0.65002,                0.41417,                 1.2992,                 1.2001,                 1.5172,               0.006634,               0.006634,               0.006634
                     36,                 1.2116,                 1.3331,                 1.4267,                0.64256,                0.63406,                0.66314,                 0.4277,                 1.2889,                  1.196,                  1.513,               0.006535,               0.006535,               0.006535
                     37,                 1.2081,                 1.3193,                 1.4198,                0.65027,                0.63131,                0.66913,                0.42768,                 1.2844,                  1.167,                 1.5033,               0.006436,               0.006436,               0.006436
                     38,                  1.194,                 1.2959,                 1.4135,                0.66143,                 0.6312,                0.66778,                0.43338,                 1.2808,                 1.1666,                 1.5068,               0.006337,               0.006337,               0.006337
                     39,                 1.1954,                  1.281,                 1.4152,                0.69485,                0.62942,                0.67889,                0.43514,                 1.2892,                 1.1394,                 1.5126,               0.006238,               0.006238,               0.006238
                     40,                 1.1957,                 1.2837,                 1.4108,                 0.6845,                0.64379,                0.68334,                0.44016,                 1.2799,                  1.128,                  1.499,               0.006139,               0.006139,               0.006139
                     41,                 1.1868,                 1.2702,                  1.409,                0.69313,                0.64848,                0.68914,                 0.4468,                 1.2721,                 1.1054,                 1.4967,                0.00604,                0.00604,                0.00604
                     42,                 1.1881,                 1.2547,                  1.409,                0.69979,                 0.6517,                0.69475,                0.45395,                 1.2673,                 1.0779,                 1.4952,               0.005941,               0.005941,               0.005941
                     43,                 1.1818,                  1.233,                 1.4015,                0.70896,                0.63849,                0.69681,                0.45366,                 1.2768,                 1.0897,                 1.4934,               0.005842,               0.005842,               0.005842
                     44,                 1.1728,                 1.2113,                 1.3947,                 0.7078,                 0.6502,                0.69829,                0.45502,                 1.2677,                 1.0909,                 1.4901,               0.005743,               0.005743,               0.005743
                     45,                 1.1659,                 1.1978,                 1.3865,                0.71846,                  0.636,                0.69777,                0.46111,                 1.2614,                 1.0732,                 1.4876,               0.005644,               0.005644,               0.005644
                     46,                 1.1719,                 1.2053,                 1.3932,                0.71171,                 0.6569,                0.70131,                0.45832,                  1.266,                 1.0666,                 1.4898,               0.005545,               0.005545,               0.005545
                     47,                 1.1671,                 1.1943,                 1.3875,                0.72189,                0.63207,                0.69541,                0.45547,                 1.2596,                 1.0778,                 1.4877,               0.005446,               0.005446,               0.005446
                     48,                  1.159,                 1.1811,                  1.382,                0.71956,                0.65586,                0.71007,                 0.4665,                 1.2535,                 1.0473,                 1.4843,               0.005347,               0.005347,               0.005347
                     49,                 1.1595,                 1.1618,                 1.3829,                0.74565,                0.66157,                0.72028,                0.47102,                 1.2525,                 1.0232,                 1.4732,               0.005248,               0.005248,               0.005248
                     50,                 1.1497,                 1.1382,                 1.3745,                0.73432,                0.64842,                0.71472,                0.46936,                 1.2505,                 1.0344,                 1.4713,               0.005149,               0.005149,               0.005149
                     51,                 1.1435,                  1.146,                 1.3742,                0.70861,                0.65203,                0.70909,                 0.4672,                 1.2476,                 1.0229,                 1.4772,                0.00505,                0.00505,                0.00505
                     52,                 1.1424,                 1.1154,                 1.3666,                0.70776,                0.65497,                0.70878,                0.47035,                 1.2468,                 1.0246,                  1.473,               0.004951,               0.004951,               0.004951
                     53,                  1.136,                 1.1191,                 1.3617,                0.74626,                 0.6576,                0.72254,                0.47511,                 1.2415,                 1.0145,                 1.4655,               0.004852,               0.004852,               0.004852
                     54,                 1.1316,                 1.1054,                 1.3619,                0.73261,                0.66444,                0.72417,                0.47653,                 1.2366,                 1.0082,                 1.4622,               0.004753,               0.004753,               0.004753
                     55,                 1.1389,                  1.115,                 1.3682,                0.72125,                0.66346,                0.72047,                0.47698,                 1.2369,                0.99809,                 1.4589,               0.004654,               0.004654,               0.004654
                     56,                 1.1335,                 1.0946,                 1.3602,                0.70902,                0.67968,                0.72169,                0.47606,                 1.2343,                0.99411,                 1.4601,               0.004555,               0.004555,               0.004555
                     57,                   1.13,                  1.076,                 1.3568,                0.73665,                0.66289,                0.72023,                0.47617,                 1.2331,                 0.9864,                 1.4589,               0.004456,               0.004456,               0.004456
                     58,                 1.1248,                 1.0631,                 1.3523,                0.73476,                0.67496,                0.72337,                0.47682,                 1.2367,                0.98465,                 1.4588,               0.004357,               0.004357,               0.004357
                     59,                 1.1182,                 1.0571,                 1.3498,                0.74586,                0.65494,                0.72107,                0.47638,                 1.2337,                0.99034,                  1.458,               0.004258,               0.004258,               0.004258
                     60,                 1.1179,                 1.0496,                  1.346,                0.73691,                0.68704,                0.72758,                0.48049,                 1.2305,                0.96565,                  1.455,               0.004159,               0.004159,               0.004159
                     61,                 1.1083,                 1.0509,                 1.3459,                0.75071,                0.68569,                0.73524,                0.48816,                 1.2281,                0.95844,                 1.4545,                0.00406,                0.00406,                0.00406
                     62,                 1.1106,                 1.0418,                 1.3456,                0.74248,                0.68201,                0.73275,                 0.4854,                 1.2258,                0.96239,                 1.4494,               0.003961,               0.003961,               0.003961
                     63,                   1.11,                 1.0319,                 1.3429,                0.74615,                0.68173,                0.73133,                0.48572,                 1.2272,                0.95599,                 1.4546,               0.003862,               0.003862,               0.003862
                     64,                 1.1052,                  1.023,                  1.338,                0.76333,                0.67107,                0.73831,                0.49092,                 1.2239,                0.95422,                 1.4507,               0.003763,               0.003763,               0.003763
                     65,                 1.0989,                 1.0141,                 1.3378,                0.74875,                0.68036,                0.73296,                0.48979,                 1.2194,                0.95735,                 1.4485,               0.003664,               0.003664,               0.003664
                     66,                 1.0912,                 1.0077,                 1.3302,                0.74782,                0.69374,                 0.7389,                0.49531,                 1.2168,                0.93817,                 1.4457,               0.003565,               0.003565,               0.003565
                     67,                 1.0956,                 1.0042,                  1.332,                0.75826,                0.67165,                0.73736,                0.49345,                 1.2185,                0.93839,                 1.4453,               0.003466,               0.003466,               0.003466
                     68,                 1.0872,                 0.9859,                 1.3267,                0.72921,                0.70346,                0.73877,                0.49263,                 1.2143,                0.93317,                 1.4422,               0.003367,               0.003367,               0.003367
                     69,                 1.0845,                0.98556,                 1.3243,                0.73114,                0.70578,                0.73832,                  0.493,                 1.2122,                0.92983,                 1.4396,               0.003268,               0.003268,               0.003268
                     70,                 1.0764,                0.97935,                 1.3212,                0.74389,                0.69412,                 0.7392,                0.49413,                 1.2098,                0.92788,                 1.4376,               0.003169,               0.003169,               0.003169
                     71,                 1.0767,                0.96669,                 1.3173,                0.75203,                0.69208,                0.73863,                0.49028,                 1.2121,                0.92751,                 1.4397,                0.00307,                0.00307,                0.00307
                     72,                 1.0747,                0.95983,                 1.3188,                 0.7772,                0.67364,                 0.7427,                0.49591,                  1.208,                0.92321,                 1.4351,               0.002971,               0.002971,               0.002971
                     73,                 1.0712,                0.95227,                 1.3156,                0.76107,                 0.6894,                0.74474,                0.49707,                 1.2067,                0.91932,                  1.435,               0.002872,               0.002872,               0.002872
                     74,                 1.0634,                 0.9398,                 1.3086,                0.74649,                0.70623,                0.74451,                0.49924,                 1.2069,                0.91657,                 1.4346,               0.002773,               0.002773,               0.002773
                     75,                 1.0655,                0.93655,                 1.3066,                0.76125,                0.68534,                0.74205,                0.49918,                 1.2047,                0.91697,                  1.432,               0.002674,               0.002674,               0.002674
                     76,                 1.0606,                0.93287,                 1.3111,                0.76399,                0.68631,                0.74271,                 0.5003,                 1.2059,                0.91373,                 1.4329,               0.002575,               0.002575,               0.002575
                     77,                 1.0581,                0.92711,                 1.3062,                0.75615,                0.68959,                0.74318,                0.50067,                 1.2066,                0.91133,                 1.4332,               0.002476,               0.002476,               0.002476
                     78,                 1.0477,                0.92268,                 1.3007,                0.75968,                0.69109,                0.74268,                0.50094,                 1.2069,                0.90999,                 1.4339,               0.002377,               0.002377,               0.002377
